default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89,15.27,16.66,18.05,19.44,20.83,22.22,23.61,25,26.39,27.77
0,0.460,0.459,0.458,0.457,0.456,0.455,0.454,0.453,0.452,0.451,0.450,0.449,0.448,0.447,0.446,0.445,0.444,0.284,0.283,0.241,-0.207
0.100,0.736,0.735,0.734,0.719,0.597,0.456,0.455,0.454,0.453,0.452,0.451,0.450,0.449,0.448,0.447,0.446,0.445,0.285,0.284,0.242,-0.206
0.200,1.150,1.012,0.969,0.893,0.776,0.775,0.774,0.773,0.772,0.771,0.770,0.765,0.750,0.625,0.564,0.533,0.458,0.398,0.286,0.243,0.035
0.300,1.750,1.600,1.420,1.300,1.237,1.236,1.235,1.234,1.233,1.232,1.231,1.230,1.169,1.067,1.032,0.952,0.834,0.756,0.657,0.584,0.571
0.400,2.650,2.480,2.300,2.130,1.950,1.753,1.609,1.526,1.439,1.412,1.411,1.410,1.409,1.261,1.210,1.205,1.185,1.118,1.046,1.044,1.043
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.617,1.667,1.670,1.629,1.654,1.635,1.618,1.580,1.532,1.584,1.572
