default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89,15.27,16.66,18.05,19.44,20.83,22.22,23.61,25,26.39,27.77
0,0.314,-0.054,-0.227,-0.228,-0.229,-0.230,-0.231,-0.232,-0.233,-0.234,-0.238,-0.239,-0.240,-0.241,-0.243,-0.244,-0.245,-0.358,-0.359,-0.360,-0.412
0.100,0.736,0.735,0.734,0.728,0.613,0.407,0.184,0.148,0.016,-0.016,-0.017,-0.018,-0.019,-0.020,-0.021,-0.022,-0.023,-0.234,-0.252,-0.269,-0.280
0.200,1.150,1.012,0.969,0.893,0.772,0.719,0.718,0.717,0.716,0.715,0.714,0.713,0.712,0.584,0.523,0.480,0.403,0.328,0.133,0.008,-0.024
0.300,1.750,1.600,1.420,1.300,1.184,1.147,1.125,1.046,1.045,1.044,0.909,0.864,0.863,0.862,0.861,0.860,0.694,0.660,0.618,0.586,0.566
0.400,2.650,2.480,2.300,2.130,1.950,1.753,1.609,1.526,1.418,1.307,1.295,1.294,1.293,1.187,1.186,1.184,1.160,1.111,1.083,1.055,1.054
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.617,1.667,1.670,1.629,1.654,1.635,1.618,1.580,1.532,1.584,1.572
