default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89,15.27,16.66,18.05,19.44,20.83,22.22,23.61,25,26.39,27.77
0,0.377,0.376,0.375,0.374,0.373,0.372,0.371,0.370,0.369,0.368,0.367,0.366,0.360,0.354,0.353,0.350,0.215,0.214,0.213,0.212,-0.283
0.100,0.736,0.735,0.734,0.728,0.613,0.407,0.372,0.371,0.370,0.369,0.368,0.367,0.366,0.365,0.364,0.351,0.216,0.215,0.214,0.213,-0.258
0.200,1.150,1.012,0.969,0.893,0.773,0.772,0.771,0.770,0.769,0.768,0.767,0.766,0.764,0.656,0.554,0.513,0.462,0.375,0.271,0.214,-0.011
0.300,1.750,1.600,1.420,1.300,1.184,1.172,1.171,1.170,1.169,1.168,1.167,1.164,1.115,1.048,1.021,0.953,0.827,0.749,0.643,0.591,0.574
0.400,2.650,2.480,2.300,2.130,1.950,1.753,1.609,1.526,1.439,1.412,1.411,1.410,1.409,1.261,1.210,1.205,1.185,1.118,1.046,1.045,1.044
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.617,1.667,1.670,1.629,1.654,1.635,1.618,1.580,1.532,1.584,1.572
