default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89,15.27,16.66,18.05,19.44,20.83,22.22,23.61,25,26.39,27.77
0,0.816,0.815,0.814,0.813,0.812,0.811,0.810,0.809,0.808,0.807,0.806,0.805,0.804,0.803,0.802,0.420,0.419,0.418,0.360,0.359,-0.113
0.100,0.820,0.819,0.818,0.817,0.813,0.812,0.811,0.810,0.809,0.808,0.807,0.806,0.805,0.804,0.803,0.421,0.420,0.419,0.367,0.366,-0.112
0.200,1.150,1.013,0.978,0.961,0.918,0.813,0.812,0.811,0.810,0.809,0.808,0.807,0.806,0.805,0.804,0.803,0.802,0.420,0.372,0.367,0.043
0.300,1.750,1.600,1.420,1.300,1.267,1.266,1.265,1.264,1.263,1.262,1.261,1.260,1.182,1.074,1.036,0.943,0.813,0.743,0.657,0.582,0.566
0.400,2.650,2.480,2.300,2.130,1.950,1.753,1.609,1.526,1.439,1.412,1.411,1.410,1.409,1.261,1.210,1.205,1.185,1.119,1.045,1.015,1.014
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.617,1.667,1.670,1.629,1.654,1.635,1.618,1.580,1.532,1.563,1.557
1.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
