default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89,15.27,16.66,18.05,19.44,20.83,22.22,23.61,25,26.39,27.77
0,0.314,0.283,0.282,0.281,0.280,0.279,0.278,0.277,0.276,0.275,0.274,0.273,0.272,0.271,0.270,0.269,0.268,0.109,-0.084,-0.085,-0.317
0.100,0.736,0.735,0.734,0.728,0.613,0.407,0.279,0.278,0.277,0.276,0.275,0.274,0.273,0.272,0.271,0.270,0.269,0.113,-0.083,-0.084,-0.280
0.200,1.150,1.012,0.969,0.893,0.772,0.753,0.752,0.751,0.750,0.749,0.748,0.747,0.745,0.649,0.545,0.483,0.444,0.370,0.194,0.037,-0.011
0.300,1.750,1.600,1.420,1.300,1.184,1.172,1.171,1.170,1.169,1.168,1.167,1.164,1.112,1.025,0.996,0.943,0.796,0.715,0.643,0.600,0.569
0.400,2.650,2.480,2.300,2.130,1.950,1.753,1.609,1.526,1.439,1.412,1.411,1.410,1.409,1.261,1.204,1.202,1.177,1.115,1.046,1.045,1.044
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.617,1.667,1.670,1.629,1.654,1.635,1.618,1.580,1.532,1.584,1.572
